RegionRank	Rank	Name	Rating
6467	12142	Maik	1472.474
6471	12147	Lord	1472.425
6486	12171	Rafi	1472.223
6503	12197	Asuna	1472.018
6543	12258	Sin	1471.678
6582	12326	eneco226	1471.255
6607	12363	Patrick	1471.04
6649	12423	flimbo	1470.566
6672	12458	Adrian	1470.38
6680	12470	Donlon	1470.308
6710	12524	Marvin	1469.901
6746	12581	Dodo	1469.487
6749	12589	Wiktor	1469.406
6756	12601	Evan	1469.367
6771	12625	Rumatron	1469.107
6856	12764	Theri	1468.115
6899	12840	Jannis	1467.42
6900	12841	Katti	1467.418
6906	12849	gg	1467.338
6907	12852	Lucy	1467.304
6914	12863	Saphierox	1467.218
6934	12896	Matheo	1466.863
6956	12929	Florian	1466.491
6959	12935	BIrk	1466.448
6980	12969	Bumbum	1466.055
7001	13010	Luca	1465.624
7004	13014	KreXX	1465.606
7006	13017	Bene	1465.495
7009	13021	Onur07	1465.414
7035	13061	Luca	1465.08
7036	13063	Manuel	1465.047
7043	13085	ice	1464.738
7063	13114	Johannes	1464.391
7065	13116	Mii_Ch1	1464.369
7102	13169	Pascal	1463.834
7142	13242	Moeez	1462.865
7153	13258	Robert	1462.557
7175	13288	Adam	1462.22
7204	13339	Marco	1461.705
7248	13424	Marvin	1460.749
7300	13510	Andreas	1459.913
7311	13528	Alex	1459.756
7355	13596	Ibraheimovic	1459.263
7361	13605	Aimo	1459.198
7375	13632	Daerri	1458.994
7384	13642	Daniel	1458.906
7423	13718	Giogio	1458.464
7426	13723	moly	1458.442
7427	13724	Maestro	1458.44
7451	13761	Alex	1458.263
7469	13788	Samantha	1458.155
7473	13796	Anbu On Tour	1458.109
7550	13928	Fableo	1457.411
7572	13962	Annika	1457.228
7584	13978	PolterGengy	1457.158
7591	13989	Gengy	1457.093
7607	14019	Thomas	1456.987
7639	14069	Niels	1456.75
7643	14073	Gengy	1456.739
7644	14074	Shinoa	1456.737
7645	14075	Jason	1456.733
7656	14093	Florian	1456.669
7675	14126	Fizzy	1456.533
7730	14227	Laladine	1456.142
7740	14239	Typman	1456.098
7745	14253	Marie-Hanna	1456.038
7769	14292	2Fame	1455.903
7785	14312	Dominik	1455.829
7786	14313	Peter	1455.828
7823	14376	Patrico	1455.571
7850	14424	Jürgen	1455.408
7865	14447	Wimpy	1455.319
7873	14460	Makali	1455.268
7891	14496	Denni	1455.114
7897	14502	Gondhi131	1455.106
7913	14532	Pedro	1455.024
7939	14583	Momo	1454.833
7970	14633	Martin	1454.661
7984	14666	Aein	1454.558
8011	14707	Hoang	1454.435
8060	14785	Daonuea	1454.177
8061	14786	Cheshire	1454.176
8082	14828	Luca	1454.032
8119	14886	Misaki	1453.828
8128	14903	Kim Hean	1453.773
8177	14981	RallyToni	1453.519
8192	15010	Benni	1453.414
8198	15020	PolterGengy	1453.389
8205	15030	Michelle	1453.355
8250	15111	jonny	1453.068
8268	15138	Wanda	1452.964
8315	15223	Robert	1452.689
8320	15233	Philip	1452.666
8335	15256	VYO	1452.541
8354	15284	Daniel	1452.425
8365	15306	YÄSSIN	1452.342
8387	15336	Melina	1452.212
8394	15347	Dave	1452.161
8398	15353	theDude	1452.139
8409	15370	Mirai	1452.066
8424	15397	Kosmo	1451.937
8464	15466	Florian	1451.489
8488	15511	Susi	1451.221
8585	15670	Juliana	1450.087
8601	15693	Ibi	1449.831
8607	15700	AnXieTy	1449.781
8615	15709	Kidzes	1449.689
8633	15744	Dave	1449.314
8645	15761	Christian	1449.222
8648	15764	Chris	1449.21
8649	15765	Annelchen	1449.202
8660	15781	LOtUrIS	1449.034
8663	15785	HimikoJuuzou	1448.997
8680	15807	Daniel	1448.707
8722	15866	Konstantin	1448.198
8724	15868	Tatjana	1448.186
8738	15893	Marcel	1447.915
8747	15906	Hostile	1447.799
8751	15912	Caleb	1447.71
8759	15932	Milch	1447.502
8790	15978	marol	1446.865
8808	16008	André	1446.594
8809	16009	Alex	1446.589
8813	16017	Dave	1446.498
8844	16060	Patrick	1445.938
8847	16063	Tobi	1445.857
8866	16088	David	1445.555
8868	16092	Poerln	1445.499
8876	16105	Stefanie	1445.353
8937	16198	Kai	1444.145
8940	16203	Skylani	1444.109
8955	16229	Masuyo	1443.744
8959	16235	Meges	1443.675
8960	16235	Dome	1443.675
8980	16258	Mathias	1443.36
9022	16323	Meli	1442.837
9111	16472	Erika	1441.597
9114	16478	Marvin	1441.545
9157	16540	Tyler	1440.977
9182	16579	Philipp	1440.705
9199	16609	Funk	1440.51
