RegionRank	Rank	Name	Rating
549	1162	LesterGr	1641.448
550	1163	Max	1641.33
552	1165	Valkiria	1641.283
553	1166	aric	1641.261
554	1169	THRISTY HOE	1641.154
557	1179	Yami_Fabio ®	1640.734
558	1181	Crown	1640.688
559	1182	Calcious	1640.642
561	1185	Leaf	1640.419
562	1186	Robert	1640.393
563	1187	Ian	1640.325
564	1191	Il Mule	1640.163
565	1193	Spanner	1640.101
566	1194	Ben	1639.975
568	1205	Jash	1639.392
569	1206	Hana	1639.381
570	1207	Matthew	1639.273
571	1212	JenZzz	1639.025
572	1214	SplattyDaddy	1638.766
573	1218	Matthew ®	1638.632
574	1219	Vishy	1638.59
576	1221	Pescatore	1638.478
578	1230	Stark	1638.004
579	1234	Visma	1637.817
581	1237	Dale	1637.713
582	1238	Linty	1637.652
583	1239	tamupoke	1637.648
584	1242	Antonio	1637.512
585	1245	drug_duck	1637.473
586	1246	Steel	1637.425
588	1249	Miku	1637.363
589	1252	Shmon	1637.181
591	1261	JEAN	1636.605
592	1262	Tidd	1636.556
594	1265	DeFalco	1636.373
597	1270	Step On 'Em	1636.292
598	1272	Wrinka	1636.143
599	1274	PJ VGC	1635.993
600	1275	Jake	1635.937
601	1276	Shammy	1635.908
602	1277	Baldo	1635.847
604	1280	Scarlet	1635.807
605	1281	Don Josamus	1635.798
606	1282	Kingyveltal	1635.788
608	1284	Alex	1635.739
609	1285	clifford	1635.691
610	1289	Lukey	1635.601
611	1291	Bones	1635.427
614	1299	Norbie	1635.059
617	1307	Crawl	1634.72
618	1308	Fuqws	1634.667
619	1309	Nettles	1634.64
620	1313	NikyuAlex	1634.397
622	1315	Javi	1634.367
624	1317	Hellraiser	1634.285
625	1318	Jose	1634.247
626	1319	Lorenzo	1634.212
627	1320	Maya	1634.047
629	1323	Oriol	1633.882
630	1327	TZ111	1633.58
632	1330	Pontus	1633.451
633	1333	Pendragon	1633.271
635	1336	LazieSquid	1633.013
636	1337	Dev	1632.8
637	1338	Juancaos	1632.796
638	1340	Selena	1632.682
639	1341	James	1632.602
640	1344	Chris	1632.512
642	1347	Brendu	1632.392
644	1353	Alex	1632.081
647	1364	DZ-Amenaza	1631.62
648	1365	Muphry	1631.566
649	1366	ChickenZ	1631.49
650	1368	Matheus	1631.292
651	1371	Silver	1631.223
652	1372	Alexis	1631.186
653	1373	DuranzTV	1631.172
654	1374	Pi-k	1631.14
655	1378	Krebs	1631.048
656	1379	Patricia	1631.032
657	1380	Kahuna	1630.96
658	1386	Toran	1630.57
659	1387	Yus	1630.547
660	1388	UFO	1630.449
662	1392	Darthnius	1630.305
663	1394	tob	1630.3
664	1397	Will	1630.084
665	1398	Snake	1630.032
669	1402	Jake	1629.941
670	1403	ZardiCharVGC	1629.718
672	1406	Daorys	1629.561
673	1408	TH-SASORI	1629.548
674	1409	Stephen	1629.439
676	1412	Tena 	1629.318
677	1413	Mike	1629.296
678	1414	Cow	1629.12
679	1415	Panda Man	1629.119
680	1417	Boss	1629.062
681	1419	Matt	1628.907
683	1422	Sarah	1628.816
686	1433	S	1628.178
687	1437	Yantung	1627.915
692	1453	violet	1627.477
694	1457	PazzyVGC	1627.305
695	1459	Amane	1627.297
697	1467	Alex	1626.892
699	1473	Adam	1626.544
700	1475	Razz	1626.453
703	1478	JOSE	1626.076
704	1480	ZCaT	1625.989
705	1482	QrdeMac	1625.936
706	1483	BigBlood Pat	1625.79
707	1484	Jam	1625.765
709	1486	J D ripper	1625.551
710	1490	JVVR	1625.398
711	1491	Murphy	1625.378
712	1492	Michael	1625.34
713	1494	WR3I	1625.285
715	1498	Evan	1625.156
716	1500	Anthony	1625.04
719	1504	Ken	1624.977
720	1505	AC	1624.969
722	1509	Bleacher	1624.879
723	1512	PoryConn	1624.745
724	1513	HortonHEARD	1624.707
729	1530	Oliver	1623.966
731	1533	Kian	1623.922
733	1535	zane	1623.763
734	1536	Daniel	1623.627
735	1537	Wid	1623.593
736	1538	ElogVGC	1623.584
738	1546	Jackson?	1623.281
739	1547	Rodro	1623.262
740	1550	Rose	1623.125
741	1551	fëł III	1623.08
742	1553	Griffin	1623.045
743	1555	Kale	1622.987
744	1556	Conkledonk	1622.949
745	1558	C	1622.863
748	1562	Kendall	1622.732
749	1564	CptAuro	1622.605
750	1568	Hicchan	1622.525
751	1570	Glace	1622.407
753	1572	Rita	1622.27
755	1575	kswas	1621.974
758	1584	ifpereira	1621.666
759	1585	Loafy	1621.624
760	1590	Kinty	1621.299
761	1591	Linathan	1621.158
762	1593	ÈlyKittie	1621.146
763	1594	Benster	1621.137
764	1596	EGrim	1620.98
765	1600	Zephiel	1620.839
